"strategy","repeats","fold","AUC"
"cv",1,1,0.592013888888889
"cv",1,2,0.591682419659735
"cv",1,3,0.53125
"cv",1,4,0.574669187145558
"cv",1,5,0.595486111111111
"cv",2,1,0.522569444444444
"cv",2,2,0.497164461247637
"cv",2,3,0.614583333333333
"cv",2,4,0.695652173913043
"cv",2,5,0.664930555555556
"cv",3,1,0.459201388888889
"cv",3,2,0.503780718336484
"cv",3,3,0.668402777777778
"cv",3,4,0.542533081285444
"cv",3,5,0.489583333333333
